第4集

  4-1 日 外 塌墙院外 出场角色：沈砚川、赵有福、周大柱、村民、林知夏

  △半边墙倒着，地上全是泥，几个人围着看。

  村民甲(慌): 真塌了！

  村民乙(乱): 刚才还好好的！

  周大柱(嘴硬): 就掉个墙头。

  沈砚川(冷): 墙先塌，下一步就是坡。

  赵有福(接话): 你少吓人。

  沈砚川(盯): 你不懂别插嘴。

  赵有福(沉): 我是不懂，可我知道你在抬地。

  村民甲(愣): 抬地？

  赵有福(扬声): 他早不修晚不修，偏这时候挖沟。

  赵有福(压): 不就是想让人觉得他这地金贵？

  周大柱(点头): 说不准真有这心思。

  林知夏(冷): 墙是雨冲塌的，不是他推塌的。

  赵有福(看她): 你一个外来的，少掺和村里的事。

  沈砚川(硬): 你卡我补助还不够？

  赵有福(淡): 我按规矩办。

  沈砚川(冷): 规矩都在你嘴里。

  4-2 傍晚 外 村口广播杆下 出场角色：沈砚川、周大柱、村民、林知夏

  △广播响起，报连续强降雨，村民都停下听。

  广播(): 未来三天有持续降雨，请注意防范。

  村民乙(低): 三天？

  周大柱(摆手): 报天的哪回准。

  沈砚川(转身): 你们不信，就先清沟。

  村民甲(烦): 家里事一堆，谁有空折腾。

  林知夏(看天): 这回不一样。

  周大柱(嗤): 你俩一唱一和，怪吓人的。

  沈砚川(短): 到时候别来哭。

  △沈砚川快步往家走。

  林知夏(跟上): 你还要补哪儿？

  沈砚川(沉): 晒场出水缝不够，还得再开。

  林知夏(低): 我帮你盯一会儿。

  沈砚川(看她): 你图什么？

  林知夏(停): 图别死人。
